"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
356,KT혜화지사 앞,종로구,15,37.5771,127.002
314,국립현대미술관,종로구,10,37.5797,126.981
461,서울지방경찰청,종로구,10,37.5744,126.972
342,대학로 마로니에공원,종로구,10,37.5798,127.003
397,종묘공영주차장 건너편,종로구,13,37.5705,126.997
458,광화문역 5번출구,종로구,11,37.5699,126.978
303,광화문역 1번출구 앞,종로구,8,37.5718,126.975
354,포르투갈 대사관 앞,종로구,10,37.5792,126.989
456,숭인2동 주민센터 입구 (이강3대냉면),종로구,10,37.5745,127.02
353,재동초교 앞 삼거리,종로구,8,37.5794,126.985
453,종로오가 지하쇼핑센터 14번출구,종로구,10,37.5711,127.001
341,혜화역 3번출구 뒤,종로구,10,37.5816,127.002
326,안국역 5번출구 앞,종로구,19,37.5762,126.986
352,중앙고입구 삼거리,종로구,15,37.5834,126.985
385,종각역 5번출구,종로구,10,37.5698,126.983
302,경복궁역 4번출구 뒤,종로구,12,37.5759,126.974
305,종로구청 옆,종로구,16,37.5726,126.978
329,청계2가 사거리 옆,종로구,8,37.5683,126.988
368,SK 서린빌딩 앞,종로구,12,37.5692,126.981
363,신설동역 11번출구 뒤,종로구,10,37.5758,127.023
308,광화문 S타워 앞,종로구,10,37.57,126.974
343,예일빌딩(율곡로) 앞,종로구,12,37.5754,127.005
393,동대문역 8번 출구,종로구,10,37.5701,127.009
359,원남동사거리,종로구,8,37.5761,126.998
301,경복궁역 7번출구 앞,종로구,16,37.5758,126.971
304,광화문역 2번출구 앞,종로구,7,37.5721,126.978
335,종로3가역 15번출구 앞,종로구,10,37.5702,126.991
307,서울역사박물관 앞,종로구,11,37.57,126.971
327,낙원상가 옆,종로구,10,37.5734,126.987
355,서울사대부속초교 앞,종로구,15,37.5765,127.002
451,청와대앞길,종로구,13,37.5835,126.98
334,종로3가역 2번출구 뒤,종로구,10,37.5706,126.992
457,종로꽃시장 입구 옆,종로구,10,37.5713,127.007
338,세운스퀘어 앞,종로구,18,37.571,126.997
455,삼익한의원,종로구,8,37.571,127.006
388,동성중학교 앞,종로구,10,37.5857,127.002
452,동대문 종합시장 버스정류장,종로구,13,37.5712,127.004
316,종각역 1번출구 앞,종로구,12,37.5704,126.982
351,청운초교 앞 삼거리,종로구,8,37.5851,126.971
447,신영동삼거리,종로구,10,37.604,126.962
309,광화문역 6번출구 옆,종로구,13,37.5699,126.976
348,독립문역 사거리,종로구,14,37.572,126.961
312,시청역 1번출구 뒤,중구,7,37.5647,126.977
318,광교사거리 남측,중구,10,37.5685,126.983
332,을지로2가 사거리 남측,중구,5,37.566,126.988
399,서울역 센트럴 자이아파트,중구,15,37.5545,126.966
346,맥스타일 앞,중구,10,37.5692,127.01
383,신당역 12번 출구 뒤,중구,17,37.5658,127.016
380,CJ제일제당 앞,중구,8,37.5639,127.003
313,서울역 광장 파출소 옆,중구,5,37.557,126.972
390,충무로역 1번출구,중구,10,37.5614,126.995
377,서울역 5번출구 앞,중구,10,37.5572,126.973
374,청구역 2번출구 앞,중구,10,37.5605,127.014
371,동대입구역 6번출구 뒤,중구,10,37.5589,127.006
322,명동성당 앞,중구,15,37.5645,126.987
430,KEB하나은행 장충동지점,중구,8,37.5622,127.006
311,서울광장 옆,중구,35,37.5666,126.977
398,을지로3가역 3번출구,중구,9,37.5666,126.992
320,을지로입구역 4번출구 앞,중구,20,37.5662,126.984
300,정동사거리,중구,7,37.5681,126.969
382,약수역 10번출구 앞,중구,7,37.5552,127.01
379,서울역9번출구,중구,7,37.556,126.973
310,청계광장 옆,중구,10,37.5689,126.977
391,정동길입구,중구,8,37.5654,126.973
389,을지로4가역 1번출구,중구,10,37.5667,126.997
330,청계천 한빛광장,중구,10,37.5682,126.985
375,다산 어린이공원,중구,8,37.5637,127.018
373,청구 어린이공원,중구,8,37.5559,127.014
370,시청역(2호선) 9번출구 뒤,중구,8,37.5632,126.975
336,티마크 호텔 앞,중구,10,37.5626,126.993
347,동대문역사문화공원역 9번출구 앞,중구,18,37.5653,127.008
431,청계천 영도교,중구,15,37.5709,127.02
429,송도병원,중구,8,37.5499,127.007
321,KEB 하나금융그룹 명동사옥 옆,중구,15,37.5655,126.984
324,신세계백화점 본점 앞,중구,10,37.5613,126.98
384,종로학원본원,중구,10,37.5598,126.969
381,장충체육관,중구,10,37.5585,127.007
378,청계7가 사거리,중구,10,37.5698,127.017
387,훈련원공원주차장 앞,중구,10,37.567,127.003
372,약수역 3번출구 뒤,중구,10,37.5543,127.011
1406,망우청소년수련관,중랑구,10,37.6063,127.108
1403,중화빌딩 앞 (동부시장),중랑구,15,37.5942,127.077
1448,코스트코 상봉점,중랑구,15,37.5973,127.09
1438,홈플러스 신내점 앞,중랑구,15,37.6162,127.093
1445,용마지구대,중랑구,10,37.5799,127.079
1451,중랑세무서,중랑구,10,37.5928,127.073
1430,중랑구청,중랑구,20,37.6062,127.093
1435,능산삼거리,중랑구,15,37.6087,127.101
1442,(구)신한은행 중랑교지점,중랑구,8,37.5986,127.08
1401,극동늘푸른아파트,중랑구,15,37.6147,127.076
1427,용마산역 1번출구,중랑구,10,37.5743,127.087
1414,사가정역 1번출구,중랑구,10,37.5816,127.088
1422,신내우디안아파트 1단지,중랑구,10,37.6201,127.106
1441,신내능말공원,중랑구,15,37.6167,127.111
1413,봉화산역 5번출구 뒤,중랑구,10,37.6176,127.09
1453,중랑캠핑숲,중랑구,9,37.6046,127.109
1410,면목 대원칸타빌아파트,중랑구,10,37.5778,127.09
1458,상봉터미널2,중랑구,9,37.5973,127.093
