l_office_no,avg_dist,count,cluster
356,2396,20148,c
358,2735,41558,c
359,2195,18495,c
361,3437,24084,c
362,3069,15868,c
363,3198,15092,c
364,3055,10792,c
367,3138,9228,c
368,3108,12387,c
369,2665,18564,c
370,3044,13050,c
371,3624,9735,f
372,3835,8432,f
373,3766,1743,d
374,3237,10194,c
375,3231,10838,c
377,4056,7266,e
378,3163,18137,c
379,4005,8201,f
380,3385,11079,c
381,3576,3288,d
382,3808,6712,e
383,3183,22309,c
384,3440,6709,b
385,3068,22729,c
386,2605,12483,c
387,3578,8439,f
388,3337,12749,c
389,3255,8252,c
390,3948,10674,f
391,2749,5835,b
393,4497,5953,e
394,3454,2877,a
395,3286,3581,b
397,4016,3257,d
398,3445,469,a
399,3194,303,a
400,2807,12627,c
401,3026,9584,c
402,2970,13186,c
403,3298,10289,c
405,3239,9182,c
406,3628,7542,e
407,3366,11106,c
408,3249,15945,c
409,3361,30916,c
410,4067,6149,e
411,3853,13738,f
412,3201,21942,c
413,3428,11037,c
414,3090,12415,c
415,2847,33000,c
416,3221,14525,c
417,3851,23011,f
418,4804,28261,i
419,4389,36250,f
420,5374,11845,i
421,4137,35684,f
422,4138,4551,e
424,4478,1945,d
425,4227,1876,d
426,5451,1654,g
427,4507,3202,g
429,3719,60,d
430,1981,160,a
431,2842,790,a
432,4947,484,g
438,3212,20,a
446,5280,4584,h
447,5805,1886,g
449,4701,1820,g
450,2993,6667,b
451,3194,5116,b
452,3000,318,a
453,4016,1313,d
454,4096,1205,d
455,3966,681,d
456,3884,883,d
457,3282,819,a
458,3542,1865,d
461,2981,461,a
5,3793,98,d
500,2980,33214,c
501,4141,38581,f
502,5768,72919,i
503,3327,20443,c
504,2924,20232,c
505,3229,29884,c
506,3490,5414,b
507,3049,10972,c
508,3041,12442,c
509,3335,28172,c
510,5764,12159,i
511,4896,30251,i
512,4223,27631,f
513,3581,19701,f
514,3201,26641,c
515,4790,9714,i
516,3320,16602,c
518,4297,8787,f
519,3474,12179,c
520,2946,13599,c
521,3851,19939,f
522,4174,2943,d
523,6223,2255,g
524,6044,4217,h
525,5216,32755,i
526,3516,11590,f
529,2997,17212,c
530,3394,11301,c
533,6087,2918,g
534,5623,5463,h
535,4946,10951,i
536,3879,9432,f
537,4679,17326,i
538,3459,12061,c
539,5367,15217,i
540,3331,35618,c
542,5163,14200,i
543,4111,11775,f
544,6881,7630,h
546,3579,14309,f
548,3577,19902,f
549,3521,18836,f
550,3489,11366,c
551,3053,18357,c
552,4324,5785,e
553,5254,10031,i
554,3185,4272,b
555,3944,7246,e
556,7704,3594,h
557,3154,12210,c
558,3403,15592,c
559,4042,21951,f
560,3334,12975,c
561,4137,17001,f
562,3646,10629,f
563,2731,19811,c
564,5738,1900,g
565,8246,32714,i
567,2801,29832,c
568,2919,27314,c
569,3749,4737,e
571,3027,25012,c
572,5209,6369,h
573,2966,22963,c
574,3855,18598,f
575,3971,3249,d
576,4294,9770,f
577,5119,14621,i
578,3708,15192,f
579,3393,14386,c
580,3754,3277,d
581,3747,8444,f
582,3440,10405,c
583,7636,29806,i
584,3366,26223,c
585,3735,16306,f
586,3879,8445,f
587,3383,10660,c
588,5158,15413,i
589,2984,11487,c
590,2902,28516,c
591,2796,6843,b
592,2775,19193,c
593,3545,8138,e
594,3154,3941,b
600,5395,7431,h
601,3178,8353,c
602,4007,22327,f
604,3772,5628,e
605,3236,8946,c
606,5969,4370,h
607,5892,5907,h
608,2377,4591,b
609,4540,16584,i
610,2753,7918,b
612,3233,12491,c
613,3120,14673,c
614,3434,24067,c
615,3973,13250,f
616,2311,9727,c
617,3184,9970,c
621,3362,5311,b
622,2995,11778,c
623,2635,28936,c
624,3165,15261,c
625,3144,12375,c
626,5131,8644,i
627,4220,9142,f
628,4638,3099,g
630,3041,15570,c
631,3161,19108,c
633,3211,18900,c
634,5237,30965,i
635,4041,16027,f
636,3599,6887,e
637,4092,10629,f
638,2896,10021,c
639,2728,20350,c
